RowId,Week Of,Operation Year,Operation Month,Division,Unit,Unit Description,Subcategory,Metric,Contacts,Human Service Acceptance,Service Resistance,Total
881,01/04/2020,2020,Jan,Central,Patrol,Patrol,N/A,Contacts,0,0,0,0
882,01/04/2020,2020,Jan,Central,BIKES,Bikes,N/A,Contacts,65,0,0,65
883,01/04/2020,2020,Jan,Central,BIKES,Bikes,N/A,Cite/Release_And_Comm_Court,0,0,8,8
884,01/04/2020,2020,Jan,Central,BIKES,Bikes,N/A,Booking_Misd,0,0,9,9
885,01/04/2020,2020,Jan,Central,BIKES,Bikes,N/A,Booking_Fel,0,0,6,6
886,01/04/2020,2020,Jan,Central,BIKES,Bikes,N/A,Felony_LFC,0,0,3,3
887,01/04/2020,2020,Jan,Central,SCU,Central Street Crimes Unit,N/A,Contacts,12,0,0,12
888,01/04/2020,2020,Jan,Central,SCU,Central Street Crimes Unit,CBI or CRT,Mental_Health,0,1,0,1
889,01/04/2020,2020,Jan,Central,SCU,Central Street Crimes Unit,N/A,Cite/Release_And_Comm_Court,0,0,3,3
890,01/04/2020,2020,Jan,Central,SCU,Central Street Crimes Unit,N/A,Booking_Fel,0,0,1,1
891,01/04/2020,2020,Jan,Central,SCU,Central Street Crimes Unit,N/A,Felony_LFC,0,0,1,1
892,01/04/2020,2020,Jan,Fiesta,CIU/PAT,Criminal Investigations Unit/Patrol,N/A,Contacts,0,0,0,0
893,01/04/2020,2020,Jan,Fiesta,SCU,Fiesta Street Crimes Unit,N/A,Contacts,0,0,0,0
894,01/04/2020,2020,Jan,MFAC,CRT,Crisis Response Team,N/A,Contacts,0,0,0,0
895,01/04/2020,2020,Jan,Red Mtn,SCU,Red Mountain Street Crimes Unit,N/A,Contacts,0,0,0,0
896,01/04/2020,2020,Jan,Super,SCU,Superstition Street Crimes Unit,N/A,Contacts,0,0,0,0
897,01/11/2020,2020,Jan,Super,SCU,Superstition Street Crimes Unit,N/A,Contacts,0,0,0,0
898,01/11/2020,2020,Jan,Red Mtn,SCU,Red Mountain Street Crimes Unit,N/A,Contacts,0,0,0,0
899,01/11/2020,2020,Jan,MFAC,CRT,Crisis Response Team,N/A,Contacts,0,0,0,0
900,01/11/2020,2020,Jan,Fiesta,SCU,Fiesta Street Crimes Unit,N/A,Contacts,0,0,0,0
901,01/11/2020,2020,Jan,Fiesta,CIU/PAT,Criminal Investigations Unit/Patrol,N/A,Contacts,0,0,0,0
902,01/11/2020,2020,Jan,Central,SCU,Central Street Crimes Unit,N/A,Contacts,8,0,0,8
903,01/11/2020,2020,Jan,Central,SCU,Central Street Crimes Unit,N/A,Cite/Release_And_Comm_Court,0,0,3,3
904,01/11/2020,2020,Jan,Central,SCU,Central Street Crimes Unit,N/A,Felony_LFC,0,0,2,2
905,01/11/2020,2020,Jan,Central,BIKES,Bikes,N/A,Contacts,82,0,0,82
906,01/11/2020,2020,Jan,Central,BIKES,Bikes,N/A,Cite/Release_And_Comm_Court,0,0,6,6
907,01/11/2020,2020,Jan,Central,BIKES,Bikes,N/A,Booking_Misd,0,0,5,5
908,01/11/2020,2020,Jan,Central,BIKES,Bikes,N/A,Booking_Fel,0,0,7,7
909,01/11/2020,2020,Jan,Central,BIKES,Bikes,N/A,Felony_LFC,0,0,3,3
910,01/11/2020,2020,Jan,Central,Patrol,Patrol,N/A,Contacts,0,0,0,0
911,05/11/2020,2020,May,Central,SCU,Central Street Crimes Unit,N/A,Contacts,59,0,0,59
912,05/11/2020,2020,May,Central,SCU,Central Street Crimes Unit,Triage Line/FIRE,Medical_Health,0,2,0,2
913,05/11/2020,2020,May,Central,SCU,Central Street Crimes Unit,N/A,Cite/Release_And_Comm_Court,0,0,9,9
914,05/11/2020,2020,May,Central,SCU,Central Street Crimes Unit,N/A,Booking_Fel,0,0,4,4
